"location","population","highestinfectioncount","infectedpercentage"
"Seychelles",106470,47141,44.28
"Montenegro",627859,281205,44.79
"Isle of Man",84263,38008,45.11
"Lithuania",2786651,1256954,45.11
"Cayman Islands",68136,30809,45.22
"Estonia",1328701,603347,45.41
"Luxembourg",639321,294753,46.10
"Bahrain",1463265,683482,46.71
"Georgia",3757980,1780691,47.38
"Switzerland",8691406,4129096,47.51
"Greece",10445365,4975067,47.63
"South Korea",51830139,24979770,48.20
"Slovakia",5447622,2632299,48.32
"Netherlands",17501696,8463695,48.36
"Latvia",1873919,937162,50.01
"Israel",9291000,4668642,50.25
"Falkland Islands",3764,1930,51.28
"Liechtenstein",39039,20077,51.43
"Brunei",445373,229665,51.57
"France",67422000,35828595,53.14
"Portugal",10290103,5501103,53.46
"Saint Pierre and Miquelon",5883,3231,54.92
"Iceland",370335,205823,55.58
"Denmark",5854240,3308378,56.51
"Slovenia",2119410,1202548,56.74
"Andorra",79034,46275,58.55
"Austria",8922082,5252058,58.87
"Gibraltar",32670,20095,61.51
"San Marino",33746,21002,62.24
"Faeroe Islands",52888,34658,65.53
"Cyprus",896007,590783,65.94
"Western Sahara",565581,NULL,NULL
"Northern Cyprus",NULL,NULL,NULL
"Tokelau",1849,NULL,NULL
"Turkmenistan",6341855,NULL,NULL
"Jersey",109618,NULL,NULL
"Niue",1937,NULL,NULL
"United States Virgin Islands",100091,NULL,NULL
"Puerto Rico",3256028,NULL,NULL
"Northern Mariana Islands",49481,NULL,NULL
"Pitcairn",47,NULL,NULL
"Guernsey",63065,NULL,NULL
"International",NULL,721,NULL
"Guam",170534,NULL,NULL
"Sint Maarten (Dutch part)",44042,NULL,NULL
